NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LOG OF SALE PRICE
FINANCIAL,14RENTALS-4-10UNIT,2A,64,25,S4,8LIBERTYPLACE,10005.0,4.0,1.0,5.0,1013.0,5065.0,1900.0,2,S4,3000000.0,2012-12-20,14.914122846632385
FINANCIAL,14RENTALS-4-10UNIT,2A,65,22,S3,20JOHNSTREET,10038.0,3.0,1.0,4.0,1607.0,5460.0,1920.0,2,S3,4000000.0,2012-12-20,15.201804919084164
FINANCIAL,22STOREBUILDINGS,4,53,38,K9,98GREENWICHSTREET,10006.0,7.0,2.0,9.0,4537.0,22600.0,1929.0,4,K9,19000000.0,2012-12-19,16.759949537130716
FINANCIAL,22STOREBUILDINGS,4,78,45,K9,120FULTONSTREET,10038.0,4.0,4.0,8.0,4133.0,15600.0,1900.0,4,K9,14000000.0,2012-12-27,16.454567887579532
FLATIRON,07RENTALS-WALKUPAPARTMENTS,2B,821,19,C7,37WEST19THSTREET,10011.0,7.0,1.0,8.0,2300.0,14600.0,1910.0,2,C7,10215018.0,2012-08-30,16.139369548346846
FLATIRON,07RENTALS-WALKUPAPARTMENTS,2,851,32,C5,41-43EAST22NDSTREET,10010.0,24.0,2.0,26.0,4938.0,20500.0,1900.0,2,C5,35250000.0,2013-07-06,17.377976087222553
FLATIRON,08RENTALS-ELEVATORAPARTMENTS,2,850,24,D9,31EAST21STSTREET,10010.0,18.0,1.0,19.0,2419.0,8300.0,1900.0,2,D9,2769455.0,2013-01-01,14.834161107902997
FLATIRON,14RENTALS-4-10UNIT,2B,828,24,S9,111/2WEST26THSTREET,10010.0,6.0,3.0,9.0,1641.0,6139.0,1905.0,2,S9,4400000.0,2012-11-12,15.29711509888849
FLATIRON,14RENTALS-4-10UNIT,2B,829,47,S9,10WEST28THSTREET,10001.0,6.0,2.0,8.0,2469.0,8031.0,1930.0,2,S9,5980000.0,2013-06-14,15.603931125926815
FLATIRON,23LOFTBUILDINGS,4,822,69,L9,52WEST21STSTREET,10010.0,3.0,2.0,5.0,1392.0,4915.0,1910.0,4,L9,4400000.0,2013-06-02,15.29711509888849
FLATIRON,23LOFTBUILDINGS,4,828,13,L9,31WEST26THSTREET,10010.0,4.0,1.0,5.0,2469.0,8970.0,1920.0,4,L9,5600000.0,2012-06-12,15.538277155705378
GRAMERCY,01ONEFAMILYHOMES,1,875,11,A4,111EAST19THSTREET,10003.0,1.0,1.0,1.0,1250.0,3520.0,1910.0,1,A4,5750000.0,2013-08-08,15.564710412773533
GRAMERCY,07RENTALS-WALKUPAPARTMENTS,2,871,47,C7,1623AVENUE,10003.0,15.0,2.0,17.0,2550.0,9500.0,1900.0,2,C7,318000.0,2012-01-10,12.669806661762314
GRAMERCY,07RENTALS-WALKUPAPARTMENTS,2,903,41,C7,234EAST23RDSTREET,10010.0,9.0,2.0,11.0,4115.0,9164.0,1926.0,2,C7,8000000.0,2013-06-18,15.89495209964411
GRAMERCY,07RENTALS-WALKUPAPARTMENTS,2,905,24,C4,241EAST24THSTREET,10010.0,16.0,2.0,18.0,2403.0,7410.0,1920.0,2,C4,4000000.0,2013-01-07,15.201804919084164
